SYM	NAM	ISI	EFD	DFD	CRF	PRC	MAT
EBRD19	EUROPEAN BANK FOR REC. AND DEVEL.	XS0411088353	20181107	20181109	126.6600	13,519.7700	20190205
IIB21	Obligatiuni IIB 2021	ROXR6Y7LQ1H7	20181107	20181109	100.0100	10,031.4700	20211015
IIB20	Obligatiuni IIB 2020	ROIIBKDBC031	20181107	20181109	100.0000	10,056.7100	20200925
IIB19	Obligatiuni IIB 2019	ROIIBKDBC023	20181107	20181109	101.0800	10,147.6700	20190927
IIB20E	Obligatiuni euro IIB 2020	ROIIBKDBC049	20181107	20181109	102.1500	10,234.4700	20200925
IIB21E	Obligatiuni euro IIB 2021	ROAB22JS4SS1	20181107	20181109	0.0000	0.0000	20211015
RBRO19	Oblig. Raiffeisen 2019	RORFZBDBC036	20181107	20181109	103.0000	10,560.9000	20190515
GBR19	Obligatiuni Garanti Bank 2019	ROGABRDBC011	20181107	20181109	103.6800	10,634.7600	20190515
IMO22	Obligatiuni Imocredit IFN 2022	ROIMOCDBC017	20181107	20181109	100.9500	8.2400	20220505
UCB24	Oblig. Unicredit Bank 2024	ROUCTBDBC048	20181107	20181109	102.0000	10,344.5700	20240715
UCB22	Oblig. Unicredit Bank 2022	ROUCTBDBC030	20181107	20181109	0.0000	0.0000	20220715
UCB20	Oblig. Unicredit Bank 2020	ROUCTBDBC022	20181107	20181109	0.0000	0.0000	20200715
VNC24	Obligatiuni Vrancart 2024	ROVRJUDBC011	20181107	20181109	110.0000	110.2200	20240317
TEL18	OBLIGATIUNI C.N.T.E.E. TRANSELECTRICA	ROTSELDBC013	20181107	20181109	102.5000	10,793.1500	20181219
TLV28E	Obligatiuni euro TLV 2028	ROTLVADBC023	20181107	20181109	0.0000	0.0000	20280628
IMP22E	Obligatiuni euro IMP 2022	ROIMPCDBC030	20181107	20181109	98.5000	5,037.6400	20221219
BHR20	OBLIG. MUN. BAILE HERCULANE 2020	ROOBHEDBL019	20181107	20181109	75.0000	0.0000	20201216
PRD26	Obligat. municipale Predeal 2026	ROPRDLDBL032	20181107	20181109	60.0000	26.2400	20260515
ALB25B	OBLIG. MUN. ALBA EMIS. III	ROALBUDBL057	20181107	20181109	99.2000	40.4000	20250415
SRE28	Oblig. Munic. Orasul Siret 2028	ROSRETDBL011	20181107	20181109	84.0000	58.5300	20280301
ALB25A	OBLIGATIUNI MUN. ALBA-IULIA 2025 emis II	ROALBUDBL040	20181107	20181109	93.0000	32.8500	20250415
HUE26B	OBLIGATIUNI MUN. HUNEDOARA 2026 emis III	ROHUNEDBL037	20181107	20181109	88.8000	40.8000	20190515
ZAL30	Obligatiuni Municipale Zalau 2030	ROZALADBL025	20181107	20181109	100.0000	60.3500	20300915
HUE26A	OBLIGATIUNI MUN. HUNEDOARA 2026 emis 2	ROHUNEDBL029	20181107	20181109	89.9000	41.3000	20190515
TGM27A	OBLIGATIUNI MUN. TARGU MURES 2027 - II	ROTGMUDBL047	20181107	20181109	99.2500	48.2300	20200515
TIM28	OBLIGATIUNI JUD. TIMIS	ROTIMYDBL086	20181107	20181109	100.0000	56.1500	20280327
PMB28	OBLIGATIUNI MUN. BUCURESTI 2028	ROPMBUDBL053	20181107	20181109	98.8800	10,194.8500	20280423
TIM26	OBLIGATIUNI MUNICIPALE TIMISOARA - 2026	ROTIMYDBL037	20181107	20181109	89.0000	40.7700	20200815
IAS28	OBLIGATIUNI MUNICIPALE IASI - 2028	ROIASIDBL011	20181107	20181109	98.0100	59.6700	20190515
ORV27	OBLIGATIUNI MUN. ORAVITA 2027	ROORVTDBL014	20181107	20181109	89.5000	56.1300	20270615
PMB25	OBLIGATIUNI MUN. BUCURESTI 2025	ROPMBUDBL046	20181107	20181109	104.0000	10,664.0800	20250504
IAS28A	OBLIGATIUNI MUNICIPALE IASI 2028 emis II	ROIASIDBL029	20181107	20181109	99.2500	60.3400	20281115
PMB22	OBLIGATIUNI MUN. BUCURESTI 2022	ROPMBUDBL038	20181107	20181109	101.8500	10,414.3900	20220504
PMB20	OBLIGATIUNI MUN. BUCURESTI 2020	ROPMBUDBL020	20181107	20181109	99.6000	10,145.3800	20200504
HUE26	OBLIGATIUNI MUNICIPALE HUNEDOARA 2026	ROHUNEDBL011	20181107	20181109	85.0000	39.0700	20190515
TGM27	OBLIGATIUNI MUNICIPALE TARGU MURES 2027	ROTGMUDBL039	20181107	20181109	99.2500	48.2300	20191115
BIS29	Obligatiuni municipale Bistrita 2029	ROBISRDBL036	20181107	20181109	100.0000	56.7200	20190525
